iter	Passed	Remaining
784	1334	365
785	1335	363
786	1336	361
787	1337	359
788	1339	358
789	1340	356
790	1341	354
791	1342	352
792	1344	350
793	1345	349
794	1347	347
795	1349	345
796	1350	344
797	1352	342
798	1353	340
799	1354	338
800	1355	336
801	1357	335
802	1358	333
803	1359	331
804	1360	329
805	1362	327
806	1364	326
807	1365	324
808	1367	322
809	1368	321
810	1370	319
811	1371	317
812	1372	315
813	1374	313
814	1375	312
815	1376	310
816	1378	308
817	1379	307
818	1381	305
819	1382	303
820	1383	301
821	1385	299
822	1386	298
823	1387	296
824	1388	294
825	1390	292
826	1391	291
827	1393	289
828	1394	287
829	1396	285
830	1397	284
831	1398	282
832	1400	280
833	1401	278
834	1402	277
835	1403	275
836	1405	273
837	1406	271
838	1408	270
839	1409	268
840	1411	266
841	1412	265
842	1413	263
843	1414	261
844	1416	259
845	1417	258
846	1418	256
847	1420	254
848	1422	252
849	1424	251
850	1425	249
851	1427	247
852	1428	246
853	1430	244
854	1431	242
855	1432	241
856	1434	239
857	1435	237
858	1436	235
859	1438	234
860	1440	232
861	1441	230
862	1442	229
863	1443	227
864	1445	225
865	1446	223
866	1447	222
867	1448	220
868	1449	218
869	1451	216
870	1453	215
871	1454	213
872	1455	211
873	1457	210
874	1459	208
875	1460	206
876	1461	205
877	1462	203
878	1464	201
879	1465	199
880	1467	198
881	1468	196
882	1470	194
883	1471	193
884	1472	191
885	1473	189
886	1475	187
887	1476	186
888	1477	184
889	1479	182
890	1480	181
891	1482	179
892	1483	177
893	1485	176
894	1486	174
895	1487	172
896	1489	170
897	1490	169
898	1491	167
899	1492	165
900	1494	164
901	1495	162
902	1497	160
903	1499	159
904	1501	157
905	1502	155
906	1504	154
907	1505	152
908	1507	150
909	1508	149
910	1510	147
911	1511	145
912	1513	144
913	1514	142
914	1515	140
915	1517	139
916	1518	137
917	1520	135
918	1521	134
919	1522	132
920	1524	130
921	1525	129
922	1527	127
923	1529	125
924	1530	124
925	1531	122
926	1533	120
927	1534	119
928	1535	117
929	1537	115
930	1538	114
931	1539	112
932	1541	110
933	1543	109
934	1544	107
935	1545	105
936	1547	104
937	1548	102
938	1550	100
939	1551	99
940	1553	97
941	1554	95
942	1555	94
943	1557	92
944	1559	90
945	1560	89
946	1561	87
947	1563	85
948	1564	84
949	1565	82
950	1567	80
951	1568	79
952	1569	77
953	1570	75
954	1572	74
955	1573	72
956	1575	70
957	1576	69
958	1577	67
959	1578	65
960	1580	64
961	1581	62
962	1582	60
963	1584	59
964	1585	57
965	1587	55
966	1588	54
967	1589	52
968	1591	50
969	1592	49
970	1593	47
971	1594	45
972	1596	44
973	1597	42
974	1598	40
975	1600	39
976	1601	37
977	1603	36
978	1604	34
979	1605	32
980	1607	31
981	1608	29
982	1609	27
983	1611	26
984	1612	24
985	1613	22
986	1614	21
987	1616	19
988	1617	17
989	1619	16
990	1620	14
991	1621	13
992	1622	11
993	1624	9
994	1625	8
995	1627	6
996	1628	4
997	1629	3
998	1631	1
999	1633	0
